BAM-A.TO,ENB.TO,TRI.TO,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
34,33,33,0.383794903080855343002752988468,53137.018100131761457305401563644409,138451.599209844658616930246353149414,0,0,initial
33,34,33,0.384059377455638450982178255799,52680.457992094867222476750612258911,137167.482645778713049367070198059082,1,1,look right
35,32,33,0.383461860571621793170038472454,53593.390563899898552335798740386963,139761.984370515769114717841148376465,1,1,look letf
31,36,33,0.384365042835985437630341721160,51767.713064558614860288798809051514,134683.718068109301384538412094116211,2,3,acc right
27,40,33,0.383959106616304057801869475952,49941.751180500657937955111265182495,130070.495320763890049420297145843506,4,3,acc right
29,38,33,0.384344040947056653223512512341,50854.683752305689267814159393310547,132315.525504169112537056207656860352,2,3,dec right
30,37,33,0.384397816263876979103741859944,51311.056216073789983056485652923584,133484.255230134731391444802284240723,1,6,dec right
29,37,34,0.386373455705572244056611452834,51341.901254281969158910214900970459,132881.543739914632169529795646667480,1,7,look right
31,37,32,0.382351225817504247750377999182,51280.495562582342245150357484817505,134118.820864088076632469892501831055,1,7,look letf
27,37,36,0.390098657856253916431654715780,51403.306945981552416924387216567993,131770.017432161926990374922752380371,2,9,acc right
23,37,40,0.396549322267746084946793416748,51527.309111989459779579192399978638,129939.218701271020108833909034729004,4,10,acc right
15,37,48,0.404787145041831719627367647263,51774.407046113294200040400028228760,127905.264977628670749254524707794189,8,11,acc right
7,37,56,0.406042714616333899613209723611,52021.504980237143172416836023330688,128118.306541694255429320037364959717,8,12,dec right
3,37,60,0.404010418732249854123494969826,52144.600748353048402350395917892456,129067.465418288833461701869964599609,4,12,dec right
5,37,58,0.405241586411910825749060904855,52082.910671936740982346236705780029,128523.114157875883392989635467529297,2,12,dec right
6,37,57,0.405696912111101370967958246183,52052.350018445307796355336904525757,128303.540067839130642823874950408936,1,12,dec right
8,37,55,0.406278402837151442206220508524,51990.944326745651778765022754669189,127968.762217432420584373176097869873,1,16,acc letf
10,37,53,0.406413595794554216578120531267,51928.063467720647167880088090896606,127771.472226954618236050009727478027,2,17,acc letf
14,37,49,0.405336427693740175559611316203,51805.252084321451548021286725997925,127808.034375493924017064273357391357,4,17,acc letf
12,37,51,0.406099962946407655461911190287,51866.657776021056633908301591873169,127718.942399573221337050199508666992,2,17,dec letf
11,37,52,0.406313192366907605101999934050,51897.502814229257637634873390197754,127727.831114489003084599971771240234,1,17,dec letf
9,37,54,0.406401656426854163139950060213,51958.908505928811791818588972091675,127851.123843242967268452048301696777,1,17,acc right
10,36,54,0.407662791149338343821284524893,52415.280969696905231103301048278809,128575.092227378961979411542415618896,1,22,look right
10,38,52,0.405078183874064967628925160170,51440.845965744374552741646766662598,126989.919510789681226015090942382812,1,22,look letf
10,34,56,0.409912233879754117626958986875,53390.906756258213135879486799240112,130249.605509261746192350983619689941,2,24,acc right
10,30,60,0.413477450679460900584416549464,55339.680023715358402114361524581909,133839.656631278310669586062431335449,4,25,acc right
10,22,68,0.417409388730082653307107420915,59238.417341238455264829099178314209,141919.225922215468017384409904479980,8,26,acc right
10,6,84,0.416367698611398717734033425586,67036.085457180524826981127262115479,161002.127880592772271484136581420898,16,26,acc right
10,14,76,0.418039145901677289263176362510,63137.251399209519149735569953918457,151031.911767562996828928589820861816,8,28,dec right
10,10,80,0.417436928370170212687639832438,65086.024666666620760224759578704834,155918.224390896095428615808486938477,4,28,dec right
10,12,78,0.417802652777597316458013665397,64111.686403161991620436310768127441,153449.687255311931949108839035034180,2,28,dec right
10,13,77,0.417937871062880883510359808497,63624.468901185777212958782911300659,152234.275250957463867962360382080078,1,28,dec right
10,15,75,0.418104757271261340267898276579,62650.033897233166499063372611999512,149842.910915712389396503567695617676,1,32,acc letf
10,17,73,0.418121802968891453922140044597,61675.695633728595566935837268829346,147506.528470406774431467056274414062,2,33,acc letf
10,21,69,0.417646182646304209296062026624,59725.634843214727879967540502548218,143005.341183245327556505799293518066,4,33,acc letf
10,19,71,0.417974217027230920962210802827,60700.069847167345869820564985275269,145224.435801055049523711204528808594,2,33,dec letf
10,18,72,0.418069589079580639090494287302,61187.287349143596657086163759231567,146356.704595168324885889887809753418,1,33,dec letf
10,16,74,0.418132930064870789177433607620,62162.816395256886607967317104339600,148667.593307259259745478630065917969,1,37,acc right
11,15,74,0.418533858502914912769199418108,62619.473243741776968818157911300659,149616.266334413317963480949401855469,1,38,Local Search 0 1
12,14,74,0.418846576775515844204278437246,63075.845707509935891721397638320923,150594.153575513017131015658378601074,1,39,Local Search 0 1
13,13,74,0.419074463424132126476706616813,63532.502555994702561292797327041626,151601.942139088176190853118896484375,1,40,Local Search 0 1
14,12,74,0.419220452359244710738295225383,63988.875019762839656323194503784180,152637.770079329347936436533927917480,1,41,Local Search 0 1
15,11,74,0.419287780963319145488554795520,64445.150743083002453204244375228882,153701.475857511104550212621688842773,1,42,Local Search 0 1
16,10,74,0.419279679970191665461243246682,64901.807591567863710224628448486328,154793.591705140599515289068222045898,1,42,Local Search 0 1
16,11,73,0.419381458102894233430646409033,64414.590089591598371043801307678223,153594.272815436765085905790328979492,1,44,Local Search 0 2
17,11,72,0.419394942898579314860540989685,64382.554268774678348563611507415771,153512.948496243712725117802619934082,1,45,Local Search 0 2
18,11,71,0.419327948036793074493289168458,64351.993615283317922148853540420532,153464.594755885162157937884330749512,1,45,Local Search 0 2
17,12,71,0.419440549890541802824373007752,63895.433507246394583489745855331421,152334.898292310303077101707458496094,1,47,Local Search 1 2
17,13,70,0.419449032326366988421284531796,63408.216005270056484732776880264282,151170.252208218415034934878349304199,1,48,Local Search 1 2
17,14,69,0.419418664210905456357636467146,62920.998503293812973424792289733887,150019.548180273326579481363296508789,1,48,Local Search 1 2
18,12,70,0.419350774230505596307239102316,63864.872853754888637922704219818115,152294.634416604472789913415908813477,1,48,Local Search 0 1
16,14,70,0.419471804923519320240643537545,62951.843541501977597363293170928955,150074.076022772846044972538948059082,1,51,Local Search 0 1
15,15,70,0.419415729631294587065326595621,62495.186693017094512470066547393799,149005.347863219561986625194549560547,1,51,Local Search 0 1
17,14,69,0.419418664210905456357636467146,62920.998503293812973424792289733887,150019.548180273326579481363296508789,1,51,Local Search 0 2
15,14,71,0.419440794100946923173012237385,62982.404194993454439099878072738647,150158.032029272435465827584266662598,1,51,Local Search 0 2
16,15,69,0.419424422381240447066375054419,62464.626039525704982224851846694946,148929.396349618851672857999801635742,1,51,Local Search 1 2
16,13,71,0.419479259491617906263627446606,63439.061043478257488459348678588867,151232.890799803426489233970642089844,1,56,Local Search 1 2
16,12,72,0.419448582167312788993029926132,63926.278545454515551682561635971069,152405.518252425797982141375541687012,1,56,Local Search 1 2
17,12,71,0.419440549890541802824373007752,63895.433507246394583489745855331421,152334.898292310303077101707458496094,1,56,Local Search 0 1
15,14,71,0.419440794100946923173012237385,62982.404194993454439099878072738647,150158.032029272435465827584266662598,1,56,Local Search 0 1
17,13,70,0.419449032326366988421284531796,63408.216005270056484732776880264282,151170.252208218415034934878349304199,1,56,Local Search 0 2
15,13,72,0.419426655465414965906489896952,63469.621696969683398492634296417236,151324.721187643386656418442726135254,1,56,Local Search 0 2
