TRI.TO,CSU.TO,IFC.TO,AEM.TO,ENB.TO,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
20,20,20,20,20,0.965120151583242047443889077840,45987.847696969663957133889198303223,47649.867865185893606394529342651367,0,0,initial
19,21,20,20,20,0.974773021282086760130880520592,46008.177249011831008829176425933838,47198.861934544307587202638387680054,1,1,look right
21,19,20,20,20,0.954669907299289133284503350296,45967.518144927489629480987787246704,48150.169805778394220396876335144043,1,1,look letf
17,23,20,20,20,0.991209543490125133402557366935,46068.299607378088694531470537185669,46476.852356735849753022193908691406,2,3,acc right
13,27,20,20,20,1.011140595721584212185462092748,46170.271852437384950462728738784790,45661.574708597981953062117099761963,4,4,acc right
5,35,20,20,20,0.992026213699216841135353206482,46393.679596837901044636964797973633,46766.586362509675382170826196670532,8,4,acc right
9,31,20,20,20,1.011146697495487023488180966524,46291.707351778619340620934963226318,45781.395979869899747427552938461304,4,6,dec right
7,33,20,20,20,1.004039054841859179845187100000,46332.366455862953444011509418487549,46145.980310656857909634709358215332,2,6,dec right
8,32,20,20,20,1.008185636480866120834321009170,46312.036903820786392316222190856934,45936.021331821182684507220983505249,1,6,dec right
10,30,20,20,20,1.013190595717441189194119033345,46251.914545454521430656313896179199,45649.766925346848438493907451629639,1,9,acc letf
12,28,20,20,20,1.012896817078451361382462891925,46211.255441370187327265739440917969,45622.865687997327768243849277496338,2,9,acc letf
11,29,20,20,20,1.013670741909689754223222735163,46231.584993412354378961026668548584,45608.088585367528139613568782806396,1,11,dec letf
10,29,21,20,20,1.019006182104782443076373965596,45858.811459815515263471752405166626,45003.467363753385143354535102844238,1,12,look right
12,29,19,20,20,1.007591147213815929717384278774,46604.358527009200770407915115356445,46253.243347640804131515324115753174,1,12,look letf
8,29,23,20,20,1.027141915114538672781918648980,45111.416661396564450114965438842773,43919.361090785685519222170114517212,2,14,acc right
4,29,27,20,20,1.030906293412984231494533560181,43619.665578392618044745177030563354,42311.959735916025238111615180969238,4,15,acc right
0,29,31,20,20,1.014824990234341584027788485400,42127.257546772030764259397983551025,41511.844852228241506963968276977539,4,15,dec right
2,29,29,20,20,1.025513035894875191189612451126,42873.461562582328042481094598770142,41806.842099447734653949737548828125,2,15,dec right
3,29,28,20,20,1.028866981897344823337903108040,43246.235096179145330097526311874390,42032.872914658306399360299110412598,1,15,dec right
5,29,26,20,20,1.031706386750682824526847980451,43992.439111989442608319222927093506,42640.464067050932499114423990249634,1,19,acc letf
7,29,24,20,20,1.029749557835079265544209192740,44738.643127799718058668076992034912,43446.139682601242384407669305801392,2,19,acc letf
6,29,25,20,20,1.031304265709724221622423101508,44365.212645586274447850883007049561,43018.548570682934951037168502807617,1,19,dec letf
4,29,26,21,20,1.062090802804608991039003740298,43612.575191040821664500981569290161,41062.944030656624818220734596252441,1,22,look right
6,29,26,19,20,0.996661097745727975194540704251,44372.303032938063552137464284896851,44520.954147102165734395384788513184,1,22,look letf
2,29,26,23,20,1.099997602158366394320410108776,42852.847349143565224949270486831665,38957.218874895377666689455509185791,2,24,acc right
0,29,26,25,20,1.095409367410130618836205940170,42093.329870882684190291911363601685,38427.031138508224103134125471115112,2,24,dec right
1,29,26,24,20,1.103584006326456368185517931124,42473.193791831356065813452005386353,38486.597801660383993294090032577515,1,26,dec right
0,29,26,24,21,1.105290757121804690044086783018,41985.976289855061622802168130874634,37986.363334103356464765965938568115,1,27,look right
2,29,26,24,19,1.099610172389812179361001653888,42960.411293807614129036664962768555,39068.764888233621604740619659423828,1,27,look letf
0,28,27,24,21,1.109017306195162255733066558605,41592.873204215997247956693172454834,37504.259827029767620842903852462769,1,29,look right
0,30,25,24,21,1.100568222054904676809883312671,42379.079375494031410198658704757690,38506.544643245062616188079118728638,1,29,look letf
0,26,29,24,21,1.113170288275282748813310718106,40785.356047430781472939997911453247,36638.919019858636602293699979782104,2,31,acc right
0,22,33,24,21,1.105364717325425960581242179614,39190.975770750919764395803213119507,35455.244008130270231049507856369019,4,31,acc right
0,24,31,24,21,1.112127303849841375438245449914,39977.838890645558421965688467025757,35947.178665836749132722616195678711,2,31,dec right
0,25,30,24,21,1.113327329664898890371205197880,40391.596013175199914257973432540894,36280.072299431194551289081573486328,1,34,dec right
0,24,30,25,21,1.105042890506475528056284929335,39970.748503293762041721493005752563,36171.219096277724020183086395263672,1,34,look right
0,26,30,23,21,1.108433325276716008289668025100,40791.579122529590677004307508468628,36801.112157419243885669857263565063,1,34,look letf
0,24,30,24,22,1.118350553110313283511345616716,39863.394922266081266570836305618286,35644.811737607276882044970989227295,1,37,look right
0,26,30,24,20,1.103838656877334845063387547270,40899.143067193639581091701984405518,37051.740136456006439402699470520020,1,37,look letf
0,22,30,24,24,1.113000286172328712197554523300,38848.397554677198058925569057464600,34904.211649647499143611639738082886,2,37,acc right
0,23,30,24,23,1.118364979726772512336196996330,39355.944608695579518098384141921997,35190.608899708771787118166685104370,1,40,dec right
0,23,29,25,23,1.103367729748431891323434683727,39349.511169960409461054950952529907,35663.097722580765548627823591232300,1,40,look right
0,23,31,23,23,1.122169279029643806921967552626,39362.824632410993217490613460540771,35077.439177847219980321824550628662,1,42,look letf
0,23,33,21,23,1.095884266753397451310547694447,39376.348458497988758608698844909668,35931.119419345304777380079030990601,2,42,acc letf
0,23,32,22,23,1.114433423976234793784101384517,39369.915019762775045819580554962158,35327.292032657423987984657287597656,1,42,dec letf
0,23,30,23,24,1.125183720530629649658749258379,39248.380664031552441883832216262817,34881.753039870025531854480504989624,1,45,look right
0,23,32,23,22,1.115738935442966761613092785410,39477.171860342532454524189233779907,35382.086800322555063758045434951782,1,45,look letf
0,23,28,23,26,1.120493311406542291663868127216,39020.149675889275385998189449310303,34824.080856768108787946403026580811,2,45,acc right
0,23,29,23,25,1.124640904907757033015514025465,39134.593644268716161604970693588257,34797.412643886120349634438753128052,1,45,dec right
0,23,30,22,25,1.124159877177794530922483318136,39141.027083003908046521246433258057,34818.025333965422760229557752609253,1,45,look right
0,23,30,24,23,1.118364979726772512336196996330,39355.944608695579518098384141921997,35190.608899708771787118166685104370,1,45,look letf
1,22,30,23,24,1.127981458565492367540628038114,39228.051111989421769976615905761719,34777.212705142868799157440662384033,1,51,Local Search 0 1
2,21,30,23,24,1.128253269273302716868556672125,39187.067523056655772961676120758057,34732.509614881659217644482851028442,1,52,Local Search 0 1
3,20,30,23,24,1.126225719662727664527324122901,39166.737971014466893393546342849731,34776.987674143849289976060390472412,1,52,Local Search 0 1
3,21,29,23,24,1.131543132029907861024753401580,39560.498005270070279948413372039795,34961.546657352206239011138677597046,1,54,Local Search 0 2
4,21,28,23,24,1.132791688982483835346215528261,39933.271538866880291607230901718140,35252.087323077423206996172666549683,1,55,Local Search 0 2
5,21,27,23,24,1.132091750259408335921307298122,40306.702021080316626466810703277588,35603.741491663029592018574476242065,1,55,Local Search 0 2
5,21,28,22,24,1.127141904332216837403279896535,40313.135459815544891171157360076904,35765.803138779891014564782381057739,1,55,Local Search 0 3
3,21,28,24,24,1.124101564252701468404893603292,39553.617981554656580556184053421021,35186.872111373457300942391157150269,1,55,Local Search 0 3
5,21,28,23,23,1.135640632160484386758980690502,40420.489040843152906745672225952148,35592.675971751494216732680797576904,1,59,Local Search 0 4
6,21,28,23,22,1.135509949692501630025276426750,40907.609802371523983310908079147339,36025.760772461209853645414113998413,1,59,Local Search 0 4
5,22,27,23,23,1.138022360846012048796183080412,40834.903111989413446281105279922485,35882.338095389022782910615205764771,1,61,Local Search 1 2
5,23,26,23,23,1.138894739146059098544583321200,41228.006197628412337508052587509155,36200.014611131744459271430969238281,1,62,Local Search 1 2
5,24,25,23,23,1.138389440516479611531508453481,41621.109283267382124904543161392212,36561.397885405691340565681457519531,1,62,Local Search 1 2
5,24,26,22,23,1.128720323604850417353873126558,41628.199670619171229191124439239502,36880.880763862842286471277475357056,1,62,Local Search 1 3
5,22,26,24,23,1.135876732711889491866941170883,40828.023088273999746888875961303711,35944.061457089344912674278020858765,1,62,Local Search 1 3
5,24,26,23,22,1.137888532744896652459942743008,41735.456511198943189810961484909058,36677.983220835936663206666707992554,1,62,Local Search 1 4
5,22,26,23,24,1.134762475530122660671850098879,40720.459143609965394716709852218628,35884.566172834311146289110183715820,1,62,Local Search 1 4
5,23,27,22,23,1.129527113546291650081343505008,41235.096584980165062006562948226929,36506.513292556053784210234880447388,1,62,Local Search 2 3
5,23,25,24,23,1.137293813690948063310770521639,41221.126173912984086200594902038574,36244.922532493917969986796379089355,1,62,Local Search 2 3
5,23,27,23,22,1.138551160796857031343165544968,41342.353425559900642838329076766968,36311.370844877033960074186325073242,1,62,Local Search 2 4
5,23,25,23,24,1.135864988764899274897857139877,41113.562229248957009986042976379395,36195.817844473254808690398931503296,1,62,Local Search 2 4
5,23,26,24,22,1.140443592800925776131748534681,41335.473401844530599191784858703613,36245.083634802787855733186006546021,1,72,Local Search 3 4
5,23,26,25,21,1.134612799453464493382170985569,41442.826982872153166681528091430664,36525.964631136623211205005645751953,1,72,Local Search 3 4
6,22,26,24,22,1.138903355556348806487676483812,41315.143849802356271538883447647095,36276.250876107136718928813934326172,1,72,Local Search 0 1
4,24,26,24,22,1.139750943437834562743660171691,41355.802953886668547056615352630615,36284.947331690746068488806486129761,1,72,Local Search 0 1
6,23,25,24,22,1.139590444020551984749545226805,41708.246935441318782977759838104248,36599.330184177226328756660223007202,1,72,Local Search 0 2
4,23,27,24,22,1.139445104420168775050115073100,40962.699868247662379872053861618042,35949.691397456495906226336956024170,1,72,Local Search 0 2
6,23,26,23,22,1.137342763196438122363929323910,41715.126959156768862158060073852539,36677.709050452598603442311286926270,1,72,Local Search 0 3
4,23,26,25,22,1.129829995982836621237765939441,40955.609480895902379415929317474365,36249.355767253029625862836837768555,1,72,Local Search 0 3
6,23,26,24,21,1.140541038397167250550978678802,41822.690903820803214330226182937622,36669.167961369763361290097236633301,1,80,Local Search 0 4
7,23,26,24,20,1.137936650075879851939930631488,42309.908405797075829468667507171631,37181.251173319506051484495401382446,1,80,Local Search 0 4
6,24,25,24,21,1.139705981317578498135389963863,42215.793989459773001726716756820679,37040.951509840648213867098093032837,1,80,Local Search 1 2
6,22,27,24,21,1.140044360212444818358790143975,41429.587818181782495230436325073242,36340.329608280742831993848085403442,1,80,Local Search 1 2
6,24,26,23,21,1.133717015261699545547458001238,42222.674013175186701118946075439453,37242.692351608384342398494482040405,1,80,Local Search 1 3
6,22,26,25,21,1.134327179504436067247752362164,41422.497430830000666901469230651855,36517.239628276060102507472038269043,1,80,Local Search 1 3
6,24,26,24,20,1.137272977284596198188637572457,42330.237957839235605206340551376343,37220.824554284939949866384267807007,1,80,Local Search 1 4
6,22,26,24,22,1.138903355556348806487676483812,41315.143849802356271538883447647095,36276.250876107136718928813934326172,1,80,Local Search 1 4
6,23,27,23,21,1.134917134704252816845837514848,41829.570927536136878188699483871460,36856.938404085747606586664915084839,1,80,Local Search 2 3
6,23,25,25,21,1.135414328676373152404721622588,41815.600516468955902382731437683105,36828.494638795105856843292713165283,1,80,Local Search 2 3
6,23,27,24,20,1.138217723005741532915635616519,41937.134872200222162064164876937866,36844.563236508904083166271448135376,1,80,Local Search 2 4
6,23,25,24,22,1.139590444020551984749545226805,41708.246935441318782977759838104248,36599.330184177226328756660223007202,1,80,Local Search 2 4
6,23,26,25,20,1.136498310090239938219269788533,41930.044484848454885650426149368286,36894.066724585922202095389366149902,1,80,Local Search 3 4
6,23,26,23,22,1.137342763196438122363929323910,41715.126959156768862158060073852539,36677.709050452598603442311286926270,1,80,Local Search 3 4
7,22,26,24,21,1.139040904885086913367331362679,41802.361351778643438592553138732910,36699.613835199277673382312059402466,1,80,Local Search 0 1
5,24,26,24,21,1.139859371652669484120679044281,41843.020455862955714110285043716431,36708.932256437234173063188791275024,1,80,Local Search 0 1
7,23,25,24,21,1.139074296248318685087497215136,42195.464437417613225989043712615967,37043.645507930050371214747428894043,1,80,Local Search 0 2
5,23,27,24,21,1.140222379964814791719618369825,41449.917370223927719052881002426147,36352.485355973280093166977167129517,1,80,Local Search 0 2
7,23,26,23,21,1.133190194888381352456008244189,42202.344461133034201338887214660645,37242.066381707394612021744251251221,1,80,Local Search 0 3
5,23,26,25,21,1.134612799453464493382170985569,41442.826982872153166681528091430664,36525.964631136623211205005645751953,1,80,Local Search 0 3
7,24,25,23,21,1.131594726130438210986994818086,42595.447546771996712777763605117798,37641.963649326913582626730203628540,1,80,Local Search add01/miner23
7,24,25,24,20,1.136556762166555767379350072588,42703.011491436045616865158081054688,37572.264679534033348318189382553101,1,80,Local Search add01/miner24
7,24,26,23,20,1.127205330251894288551284262212,42709.891515151473868172615766525269,37890.072348759371379856020212173462,1,80,Local Search add01/miner34
7,22,27,23,21,1.133536601098695140166228156886,41809.241375494028034154325723648071,36883.891825786544359289109706878662,1,80,Local Search add02/miner13
7,22,27,24,20,1.138047522907445152640093510854,41916.805320158062386326491832733154,36832.209970520765637047588825225830,1,80,Local Search add02/miner14
7,23,27,23,20,1.128849961649754707337933723466,42316.788429512445873115211725234985,37486.636725104450306389480829238892,1,80,Local Search add02/miner34
7,22,25,25,21,1.133826176270171792737073701574,41795.270964426817954517900943756104,36862.150335879792692139744758605957,1,80,Local Search add03/miner12
7,22,26,25,20,1.136224375434884414914904482430,41909.714932806287833955138921737671,36885.069392007673741318285465240479,1,80,Local Search add03/miner14
7,23,25,25,20,1.136629329930556320249479540507,42302.818018445250345394015312194824,37217.777954955454333685338497161865,1,80,Local Search add03/miner24
7,22,25,24,22,1.136755415088174459015135653317,41687.917383399195387028157711029053,36672.723815584904514253139495849609,1,80,Local Search add04/miner12
7,22,26,23,22,1.134626522478314081254779921437,41694.797407114594534505158662796021,36747.596306882114731706678867340088,1,80,Local Search add04/miner13
7,23,25,23,22,1.134419151723642826823379436973,42087.900492753586149774491786956787,37100.837401065553422085940837860107,1,80,Local Search add04/miner23
5,24,27,23,21,1.134148664643126913631476782029,41849.900479578340309672057628631592,36899.836665369526599533855915069580,1,80,Local Search add12/miner03
5,24,27,24,20,1.136235492907467614642769149214,41957.464424242352833971381187438965,36926.732782197352207731455564498901,1,80,Local Search add12/miner04
6,24,27,23,20,1.128112338854704077562018937897,42337.117981554627476725727319717407,37529.168437725478725042194128036499,1,80,Local Search add12/miner34
5,24,25,25,21,1.134849263326795476558572772774,41835.930068511137505993247032165527,36864.746200627268990501761436462402,1,80,Local Search add13/miner02
5,24,26,25,20,1.134628147130559039368336016196,41950.374036890607385430485010147095,36972.795133790627005510032176971436,1,80,Local Search add13/miner04
6,24,25,25,20,1.136069687174230180559675318364,42323.147570487431949004530906677246,37254.006552853883476927876472473145,1,80,Local Search add13/miner24
5,24,25,24,22,1.140242141634996597687745634175,41728.576487483500386588275432586670,36596.241240170944365672767162322998,1,80,Local Search add14/miner02
5,24,26,23,22,1.137888532744896652459942743008,41735.456511198943189810961484909058,36677.983220835936663206666707992554,1,80,Local Search add14/miner03
6,24,25,23,22,1.136246200847152110213755804580,42108.230044795731373596936464309692,37059.072244554976350627839565277100,1,80,Local Search add14/miner23
5,22,27,25,21,1.133002960290896421469142296701,41049.723897233132447581738233566284,36230.906128165537666063755750656128,1,80,Local Search add23/miner01
5,23,27,25,20,1.134555418855063280147987825330,41557.270951251586666330695152282715,36628.683148143711150623857975006104,1,80,Local Search add23/miner04
6,22,27,25,20,1.135601774924577034298067701457,41536.941399209412338677793741226196,36577.031065285329532343894243240356,1,80,Local Search add23/miner14
5,22,27,24,22,1.139257451698296952358191447274,40942.370316205473500303924083709717,35937.768285098747583106160163879395,1,80,Local Search add24/miner01
5,23,27,23,22,1.138551160796857031343165544968,41342.353425559900642838329076766968,36311.370844877033960074186325073242,1,80,Local Search add24/miner03
6,22,27,23,22,1.137123126217800983539518711041,41322.023873517740867100656032562256,36339.093736453520250506699085235596,1,80,Local Search add24/miner13
5,22,26,25,22,1.129531719242819365334185022220,40935.279928853728051763027906417847,36240.929963697395578492432832717896,1,80,Local Search add34/miner01
5,23,25,25,22,1.131368190170302767683097044937,41328.383014492683287244290113449097,36529.560733249534678179770708084106,1,80,Local Search add34/miner02
6,22,25,25,22,1.129751072948881107649299337936,41308.053462450545339379459619522095,36563.854154728163848631083965301514,1,80,Local Search add34/miner12
