ENB.TO,TRI.TO,IFC.TO,AEM.TO,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
25,25,25,25,0.758202167742709987052762699022,39257.050859024995588697493076324463,51776.495147593101137317717075347900,0,0,initial
24,26,25,25,0.767658663149406672587815592124,39744.268361001253651920706033706665,51773.360047740345180500298738479614,1,1,look right
26,24,25,25,0.747785798870950646488608981599,38769.833357048708421643823385238647,51846.174954894297115970402956008911,1,1,look letf
22,28,25,25,0.783559379869077199387561449839,40719.797407114587258547544479370117,51967.723765770431782584637403488159,2,3,acc right
18,32,25,25,0.802998467956034911452434243984,42668.667415019714098889380693435669,53136.673502789140911772847175598145,4,4,acc right
10,40,25,25,0.798573012319420239002454309230,46567.404732542781857773661613464355,58313.271315405210771132260560989380,8,4,acc right
14,36,25,25,0.807012369097659498784480547329,44617.440682476917572785168886184692,55287.183184521425573620945215225220,4,6,dec right
12,38,25,25,0.804110712856716536300893949374,45593.066469038159993942826986312866,56699.986382549701374955475330352783,2,6,dec right
13,37,25,25,0.805918435420552636827551395982,45105.848967061901930719614028930664,55968.255576042633038014173507690430,1,6,dec right
15,35,25,25,0.807316225529390751880498555693,44130.223180500594025943428277969360,54662.871604695639689452946186065674,1,9,acc letf
17,33,25,25,0.805357245862375337175365075382,43155.884916996008541900664567947388,53586.014329311401525046676397323608,2,9,acc letf
16,34,25,25,0.806782648492810228191274291021,43643.005678524343238677829504013062,54095.121852280732127837836742401123,1,9,dec letf
14,35,26,25,0.814567835278745322469262646337,44244.667148880071181338280439376831,54316.737333164564915932714939117432,1,12,look right
16,35,24,25,0.799168392833696006327670602332,44016.436160737779573537409305572510,55077.799066432096878997981548309326,1,12,look letf
12,35,28,25,0.826107282937298514902124679793,44472.898137022311857435852289199829,53834.288906030385987833142280578613,2,14,acc right
8,35,32,25,0.836190800782071308461240732868,44929.920321475583477877080440521240,53731.660620343580376356840133666992,4,15,acc right
0,35,40,25,0.805632070208169737135506238701,45843.404482213372830301523208618164,56903.648920490166347008198499679565,8,15,acc right
4,35,36,25,0.828592748107921384104201933951,45386.285557312221499159932136535645,54775.142144257355539593845605850220,4,15,dec right
6,35,34,25,0.834522627327886401538137306488,45158.151309617845981847494840621948,54112.554687957039277534931898117065,2,15,dec right
7,35,33,25,0.835908422673723006113277733675,45043.707341238427034113556146621704,53885.935491787917271722108125686646,1,15,dec right
9,35,31,25,0.835353473509718558176473379717,44815.476353096106322482228279113770,53648.518590345840493682771921157837,1,15,acc letf
7,35,32,26,0.846604930110120057484834887873,45037.273902503271528985351324081421,53197.509606570754840504378080368042,1,21,look right
9,35,32,24,0.823662786541234925863363969256,44822.566740447909978684037923812866,54418.589103277357935439795255661011,1,21,look letf
5,35,32,28,0.860224730851469221448724056245,45251.884324110658781137317419052124,52604.723743898124666884541511535645,2,23,acc right
1,35,32,32,0.855994499272430875436157293734,45681.509011857655423227697610855103,53366.591783808820764534175395965576,4,23,acc right
3,35,32,30,0.863371489203815345447878826235,45466.801849802395736332982778549194,52661.921801160016912035644054412842,2,25,dec right
2,35,32,31,0.860955778496467871718778042123,45574.155430830032855737954378128052,52934.374295528352377004921436309814,1,25,dec right
4,35,32,29,0.863139187807896890447523219336,45359.448268774678581394255161285400,52551.719247012137202546000480651855,1,25,acc letf
3,34,33,30,0.866942975905017232385318948218,45093.371367588959401473402976989746,52014.230025354532699566334486007690,1,28,look right
3,36,31,30,0.859333129735703082907605221408,45839.575383399198472034186124801636,53343.195784267787530552595853805542,1,28,look letf
3,32,35,30,0.872516141700126257596537016070,44347.824300395273894537240266799927,50827.511585037369513884186744689941,2,30,acc right
3,28,39,30,0.876067641835925781101934717299,42855.416268774715717881917953491211,48917.930787815683288499712944030762,4,31,acc right
3,20,47,30,0.844871670857539447396789000777,39870.066371541506669018417596817017,47190.677290757826995104551315307617,8,31,acc right
3,24,43,30,0.867362390781018732788254510524,41362.474403162050293758511543273926,47687.650332541052193846553564071655,4,31,dec right
3,26,41,30,0.873376312620213979265315629164,42108.021470355692144948989152908325,48212.919061232067178934812545776367,2,31,dec right
3,27,40,30,0.875123670224584482291163567425,42481.451952569121203850954771041870,48543.369809283110953401774168014526,1,31,dec right
3,29,38,30,0.876237197463917594220106366265,43228.189802371540281455963850021362,49333.890329566413129214197397232056,1,36,acc letf
3,31,36,30,0.874418690522723363045543010230,43974.393818181815731804817914962769,50289.860332118623773567378520965576,2,36,acc letf
3,30,37,30,0.875675015782965582289421035966,43601.620284584962064400315284729004,49792.011304101819405332207679748535,1,36,dec letf
3,28,38,31,0.870822187355654642182400948514,42848.325881422897509764879941940308,49204.448971995596366468816995620728,1,36,look right
3,30,38,29,0.875944557716743843478468534158,43608.053723320088465698063373565674,49784.034091141329554375261068344116,1,36,look letf
3,29,37,31,0.871246319532769319948783959262,43221.756363636370224412530660629272,49609.112135836934612598270177841187,1,36,look right
3,29,39,29,0.876680542626098624481301158085,43235.280189723285729996860027313232,49317.029507934443245176225900650024,1,42,look letf
3,29,41,27,0.864058059163841152283680457913,43248.593652173891314305365085601807,50052.879194282439129892736673355103,2,42,acc letf
3,29,40,28,0.872552828325697693578888447519,43242.160213438706705346703529357910,49558.214482456198311410844326019287,1,42,dec letf
4,28,39,29,0.880691180529280859268226322456,42748.062687747013114858418703079224,48539.219686583135626278817653656006,1,45,Local Search 0 1
5,27,39,29,0.883731285267369104374779453792,42259.654403162036032881587743759155,47819.574917930578521918505430221558,1,46,Local Search 0 1
6,26,39,29,0.885694814826961440701325045666,41772.533641633686784189194440841675,47163.574791611266846302896738052368,1,47,Local Search 0 1
7,25,39,29,0.886476595656490840013930210262,41285.316139657450548838824033737183,46572.370147102548799011856317520142,1,48,Local Search 0 1
8,24,39,29,0.885981065726281213912329803861,40798.098637681170657742768526077271,46048.499472431736649014055728912354,1,48,Local Search 0 1
8,25,38,29,0.886318926931694783810655735579,41170.872171277944289613515138626099,46451.532197112639551050961017608643,1,48,Local Search 0 2
6,25,40,29,0.885062245709758554923496376432,41399.760108036847668699920177459717,46776.099996037126402370631694793701,1,48,Local Search 0 2
8,25,39,28,0.890649085181624444729209244542,41177.752194993416196666657924652100,46233.418840368874953128397464752197,1,52,Local Search 0 3
9,25,39,27,0.891302401654931575336604510085,41070.398613965764525346457958221436,46079.084424891072558239102363586426,1,53,Local Search 0 3
10,25,39,26,0.888360286678252064618277472619,40963.045032938076474238187074661255,46110.846744519258209038525819778442,1,53,Local Search 0 3
9,26,38,27,0.889742450432552289818488588935,41443.172147562545433174818754196167,46578.841020134263089857995510101318,1,53,Local Search 1 2
9,24,40,27,0.892042575566915130202971795370,40697.625080368881754111498594284058,45622.962619810532487463206052780151,1,56,Local Search 1 2
9,23,41,27,0.891911475567374933959285954188,40324.194598155438143294304609298706,45210.983043472850113175809383392334,1,56,Local Search 1 2
9,25,40,26,0.886708794000783728783687820396,41077.489001317495421972125768661499,46325.794081705236749257892370223999,1,56,Local Search 1 3
9,23,40,28,0.890754461976593803207435939839,40317.761159420275362208485603332520,45262.485769596627505961805582046509,1,56,Local Search 1 3
9,24,41,26,0.887552642784716905310915535665,40704.058519104029983282089233398438,45861.007625862177519593387842178345,1,56,Local Search 2 3
9,24,39,28,0.891105478979700271757735663414,40690.534693017114477697759866714478,45662.983398561351350508630275726318,1,56,Local Search 2 3
10,23,40,27,0.893137565697873725412136991508,40210.407578392616414930671453475952,45021.516418888153566513210535049438,1,62,Local Search 0 1
11,22,40,27,0.892866786227166864264859214018,39723.190076416329247877001762390137,44489.492373512694030068814754486084,1,62,Local Search 0 1
11,23,39,27,0.892666225537443902560141850699,40095.963610013182915281504392623901,44917.083746360818622633814811706543,1,62,Local Search 0 2
9,23,41,27,0.891911475567374933959285954188,40324.194598155438143294304609298706,45210.983043472850113175809383392334,1,62,Local Search 0 2
11,23,40,26,0.891761251087269779525001922593,40103.053997364921087864786386489868,44970.617358031340700108557939529419,1,62,Local Search 0 3
9,23,40,28,0.890754461976593803207435939839,40317.761159420275362208485603332520,45262.485769596627505961805582046509,1,62,Local Search 0 3
10,24,39,27,0.892646465855776893860706877604,40583.181111989484634250402450561523,45463.890425066027091816067695617676,1,62,Local Search 1 2
10,22,41,27,0.892721161731059531518894800683,39836.977096179143700283020734786987,44624.210564172106387559324502944946,1,62,Local Search 1 2
10,24,40,26,0.889835903724101928702339137089,40590.271499341186427045613527297974,45615.457107838170486502349376678467,1,62,Local Search 1 3
10,22,40,28,0.889534285871888985575139940920,39830.543657443966367281973361968994,44776.850414937660389114171266555786,1,62,Local Search 1 3
10,23,41,26,0.890475256956606675551313401229,40216.841017127750092186033725738525,45163.344745341462839860469102859497,1,62,Local Search 2 3
10,23,39,28,0.890207424189757956511925840459,40203.317191040849138516932725906372,45161.741071338277834001928567886353,1,62,Local Search 2 3
11,24,39,26,0.890493619437518701964506817603,40475.827530961767479311674833297729,45453.248229367854946758598089218140,1,62,Local Search add01/miner23
11,22,41,26,0.892154445355098801861970514437,39729.623515151441097259521484375000,44532.226143129402771592140197753906,1,62,Local Search add02/miner13
11,22,39,28,0.887867382673511951196587688173,39716.099689064554695505648851394653,44732.017938842363946605473756790161,1,62,Local Search add03/miner12
9,24,41,26,0.887552642784716905310915535665,40704.058519104029983282089233398438,45861.007625862177519593387842178345,1,62,Local Search add12/miner03
9,24,39,28,0.891105478979700271757735663414,40690.534693017114477697759866714478,45662.983398561351350508630275726318,1,62,Local Search add13/miner02
9,22,41,28,0.889477350864065652302770104143,39944.330677206773543730378150939941,44907.642267005023313686251640319824,1,62,Local Search add23/miner01
